Year,Time_Q1,Link_Q1,Link_pdf_Q1,Time_Q2,Link_Q2,Link_pdf_Q2,Time_Q3,Link_Q3,Link_pdf_Q3,Time_Q4,Link_Q4,Link_pdf_Q4,download_Q1,download_Q2,download_Q3,download_Q4
2022,['決算短信 (2022/7/27)'],['https://www.buffett-code.com/company/5486/library/77a40925850ada08b51fba/preview'],,['決算短信 (2022/10/26)'],['https://www.buffett-code.com/company/5486/library/e51e4b171962a49acc6d53/preview'],,[],[],,[],[],,OK,OK,,
2021,['決算短信 (2021/7/28)'],['https://www.buffett-code.com/company/5486/library/167aaa63b62068cc964897/preview'],,['決算短信 (2021/10/26)'],['https://www.buffett-code.com/company/5486/library/d02aa23c1f09e6a40220fe/preview'],,['決算短信 (2022/1/31)'],['https://www.buffett-code.com/company/5486/library/3a0f0a2c4aac5ab2710599/preview'],,['決算短信 (2022/4/26)'],['https://www.buffett-code.com/company/5486/library/81b71fde1a171b25ebab8a/preview'],,OK,OK,OK,OK
2020,['決算短信 (2020/7/28)'],['https://www.buffett-code.com/company/5486/library/a138f1a0bf49c9bb27fc52/preview'],,['決算短信 (2020/10/27)'],['https://www.buffett-code.com/company/5486/library/d2ea1a560bb18dbe928c3b/preview'],,['決算短信 (2021/1/28)'],['https://www.buffett-code.com/company/5486/library/d928eb1ddfed0b498129aa/preview'],,['決算短信 (2021/4/26)'],['https://www.buffett-code.com/company/5486/library/f8f4bc653980203806d89b/preview'],,OK,OK,OK,OK
2019,['決算短信 (2019/7/26)'],['https://www.buffett-code.com/company/5486/library/df88990c7dff896fb74d8f/preview'],,['決算短信 (2019/10/29)'],['https://www.buffett-code.com/company/5486/library/747f550010fb13e031b12b/preview'],,['決算短信 (2020/1/30)'],['https://www.buffett-code.com/company/5486/library/693299b9fe2068286c3caa/preview'],,"['決算短信 (2020/5/27)', '決算短信 (2020/5/27)']","['https://www.buffett-code.com/company/5486/library/8b27f9d335f9a580017c4a/preview', 'https://www.buffett-code.com/company/5486/library/c95ee4aa4b5b6a56366610/preview']",,OK,OK,OK,OK
2018,['決算短信 (2018/7/26)'],['https://www.buffett-code.com/company/5486/library/0a31d6b0ddf2b10c325941/preview'],,['決算短信 (2018/10/25)'],['https://www.buffett-code.com/company/5486/library/f22ef788240e80641db197/preview'],,['決算短信 (2019/1/31)'],['https://www.buffett-code.com/company/5486/library/f9941f9cb7112018e77f46/preview'],,['決算短信 (2019/4/25)'],['https://www.buffett-code.com/company/5486/library/f19bbefaa22f0f949e4a3e/preview'],,OK,OK,OK,OK
2017,['決算短信 (2017/7/27)'],['https://www.buffett-code.com/company/5486/library/9eeb00088317b99a99f6b4/preview'],,['決算短信 (2017/10/24)'],['https://www.buffett-code.com/company/5486/library/5010cc4ee22e935b6b06ca/preview'],,['決算短信 (2018/1/29)'],['https://www.buffett-code.com/company/5486/library/44590e47cfd7b040fc8a35/preview'],,['決算短信 (2018/4/26)'],['https://www.buffett-code.com/company/5486/library/7feea3a7795c38520300ed/preview'],,OK,OK,OK,OK
2016,['決算短信 (2016/7/28)'],['https://www.buffett-code.com/company/5486/library/0dc92dcfb2cee293d851ab/preview'],,['決算短信 (2016/10/27)'],['https://www.buffett-code.com/company/5486/library/f973739299677d1a718720/preview'],,['決算短信 (2017/1/26)'],['https://www.buffett-code.com/company/5486/library/37126149fb51d32cda5bc9/preview'],,['決算短信 (2017/4/28)'],['https://www.buffett-code.com/company/5486/library/dfdd1bf0d33d65a0344164/preview'],,OK,OK,OK,OK
2015,['決算短信 (2015/7/28)'],['https://www.buffett-code.com/company/5486/library/94c64b5dbcc714c911ce60/preview'],,['決算短信 (2015/10/27)'],['https://www.buffett-code.com/company/5486/library/ca19ffc81f37103398fbef/preview'],,['決算短信 (2016/1/28)'],['https://www.buffett-code.com/company/5486/library/dcbdafbca009f3f3e9c44f/preview'],,['決算短信 (2016/4/27)'],['https://www.buffett-code.com/company/5486/library/fe38a98df616afe1548a23/preview'],,OK,OK,OK,OK
2014,['決算短信 (2014/7/29)'],['https://www.buffett-code.com/company/5486/library/58c36af52d75bdc01a4ffb/preview'],,['決算短信 (2014/10/27)'],['https://www.buffett-code.com/company/5486/library/5d1042cebc2a7569247b80/preview'],,['決算短信 (2015/2/3)'],['https://www.buffett-code.com/company/5486/library/121c2e680ccbbf33a992af/preview'],,"['決算短信 (2015/5/12)', '決算短信 (2015/6/23)']","['https://www.buffett-code.com/company/5486/library/6e8e299b89421a19185548/preview', 'https://www.buffett-code.com/company/5486/library/0ada5cd2c2f35b928d8f5a/preview']",,OK,OK,OK,OK
2013,['決算短信 (2013/7/26)'],['https://www.buffett-code.com/company/5486/library/25c8defd1822f901bfa77a/preview'],,"['決算短信 (2013/10/28)', '(訂正)決算短信 (2013/11/14)']","['https://www.buffett-code.com/company/5486/library/47c90cd3428df834981410/preview', 'https://www.buffett-code.com/company/5486/library/ab5b4c1374df1856e3fcac/preview']",,['決算短信 (2014/1/29)'],['https://www.buffett-code.com/company/5486/library/421c4fd69161cb4832e0ab/preview'],,['決算短信 (2014/4/24)'],['https://www.buffett-code.com/company/5486/library/4951a05bc738bc116f46a0/preview'],,OK,OK,OK,OK
2012,['決算短信 (2012/7/27)'],['https://www.buffett-code.com/company/5486/library/5fead62b96881a23eecfaa/preview'],,['決算短信 (2012/10/25)'],['https://www.buffett-code.com/company/5486/library/e69fc0b3c88c2797d7c755/preview'],,['決算短信 (2013/1/30)'],['https://www.buffett-code.com/company/5486/library/df3ef340c3b11d4629e304/preview'],,['決算短信 (2013/4/25)'],['https://www.buffett-code.com/company/5486/library/615aa3ae9c5e9dae476298/preview'],,OK,OK,OK,OK
2011,['決算短信 (2011/7/28)'],['https://www.buffett-code.com/company/5486/library/6ad2a9a91880efaf073cd4/preview'],,['決算短信 (2011/10/27)'],['https://www.buffett-code.com/company/5486/library/b1d5af113f74295bd706c2/preview'],,['決算短信 (2012/1/31)'],['https://www.buffett-code.com/company/5486/library/9e099a539be02eca2cfea4/preview'],,['決算短信 (2012/4/25)'],['https://www.buffett-code.com/company/5486/library/671f4732c4f0a024a4ee74/preview'],,OK,OK,OK,OK
2010,['決算短信 (2010/7/27)'],['https://www.buffett-code.com/company/5486/library/3b73e85ec39f3375494fd8/preview'],,['決算短信 (2010/10/26)'],['https://www.buffett-code.com/company/5486/library/412c858a49140d3b9f93c3/preview'],,['決算短信 (2011/2/2)'],['https://www.buffett-code.com/company/5486/library/cb156cf9c343e35ef2c04a/preview'],,['決算短信 (2011/4/26)'],['https://www.buffett-code.com/company/5486/library/b2933e09fdb813f84304c2/preview'],,OK,OK,OK,OK
2009,['決算短信 (2009/7/27)'],['https://www.buffett-code.com/company/5486/library/b63d5f91b8fda0df0679b7/preview'],,['決算短信 (2009/10/27)'],['https://www.buffett-code.com/company/5486/library/c09ebe3b052987b0ac1ed7/preview'],,['決算短信 (2010/2/2)'],['https://www.buffett-code.com/company/5486/library/3ba20c7683db2053a25920/preview'],,['決算短信 (2010/4/27)'],['https://www.buffett-code.com/company/5486/library/7e64ce1428f1ae20a25b34/preview'],,OK,OK,OK,OK
2008,['決算短信 (2008/7/30)'],['https://www.buffett-code.com/company/5486/library/1cbf1c25f2032f35f781bb/preview'],,"['決算短信 (2008/10/28)', '(訂正)決算短信 (2008/10/28)']","['https://www.buffett-code.com/company/5486/library/7ac43d4dc03b678eb5040d/preview', 'https://www.buffett-code.com/company/5486/library/bcc460b5cb94c77909c80e/preview']",,['決算短信 (2009/2/2)'],['https://www.buffett-code.com/company/5486/library/1f8c44adae5b5d7f66187f/preview'],,['決算短信 (2009/4/30)'],['https://www.buffett-code.com/company/5486/library/e82a80f6872bda70b15fb0/preview'],,OK,OK,OK,OK
